sexo,estado_civil,idade,possui_filhos,idade_media_filhos,cargo_atual/senioridade,home_office/hibrido,avaliação_ambiente_trabalho,modelo_ideal,modelo_pre_pandemia,modelo_pos_pandemia,satisfacao_vida_pessoal,satisfacao_cuidado_filhos,satisfacao_tarefas_domesticas,satisfacao_estudos,satisfacao_dev_carreira,sobrecarga_vida_pessoal,sobrecarga_cuidado_filhos,sobrecarga_tarefas_domesticas,sobrecarga_estudos,sobrecarga_dev_carreira,frustracao_vida_pessoal,frustracao_cuidado_filhos,frustracao_tarefas_domesticas,frustracao_estudos,frustracao_dev_carreira,inseguranca_vida_pessoal,inseguranca_cuidado_filhos,inseguranca_tarefas_domesticas,inseguranca_estudos,inseguranca_dev_carreira,nivel
Homem,Solteiro(a),23,Não,Não se aplica,Júnior,Remoto,4.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,2.0,1.0,Entrada
Homem,Solteiro(a),28,Não,Não se aplica,Desenvolvedor(a) full stackJúnior,Remoto,2.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,1.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,1.0,1.0,Não se aplica,1.0,1.0,1.0,Entrada
Homem,Casado(a)/União Estável,39,Não,Não se aplica,Pleno,Híbrido,5.0,Remoto,Não,Adotou o modelo de trabalho híbrido?,2.0,Não se aplica,2.0,2.0,2.0,0.0,Não se aplica,0.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Solteiro(a),23,Sim,3,Desenvolvedor(a) Backend Júnior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,Entrada
Homem,Solteiro(a),31,Não,Não se aplica,Engenheiro(a) de Software Pleno,Híbrido,5.0,Remoto,Não,Adotou o modelo de trabalho híbrido?,5.0,Não se aplica,5.0,5.0,5.0,3.0,Não se aplica,4.0,5.0,4.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Solteiro(a),48,Não,Não se aplica,Analista Sistemas Júnior,Remoto,4.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,4.0,Não se aplica,4.0,3.0,4.0,3.0,Não se aplica,3.0,3.0,3.0,3.0,Não se aplica,2.0,1.0,1.0,4.0,Não se aplica,4.0,4.0,4.0,Entrada
Mulher,Solteiro(a),24,Não,Não se aplica,Desenvolvedor(a)(a) Frontend Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,3.0,Não se aplica,4.0,3.0,4.0,1.0,Não se aplica,4.0,2.0,2.0,1.0,Não se aplica,4.0,3.0,3.0,0.0,Não se aplica,4.0,2.0,2.0,Intermediário
Homem,Solteiro(a),34,Não,Não se aplica,Desenvolvedor(a) Pleno,Remoto,5.0,Híbrido,Sim,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,2.0,0.0,Não se aplica,0.0,0.0,2.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Casado(a)/União Estável,24,Sim,1,Desenvolvedor(a),Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intermediário
Homem,Solteiro(a),26,Não,Não se aplica,Estagiário(a),Remoto,4.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,4.0,Não se aplica,4.0,4.0,4.0,4.0,Não se aplica,4.0,5.0,3.0,5.0,Não se aplica,3.0,4.0,4.0,3.0,Não se aplica,2.0,2.0,4.0,Entrada
